id;entrega;diagnostico;comconpers;motivación
407;0.3913;1;0.3;0.6
408;0.5;1;0.3;0.6
409;0.7391;1;0.3;0.6
410;0.518;1;0.3;0.4
411;0.4532;0;0.3;0.4
412;0.1739;1;0.3;0.4
413;0.8261;1;0.3;0.2
414;0.9281;0;0.288888888888889;1
415;0.741;0.5;0.288888888888889;1
416;0.6884;1;0.288888888888889;1
417;0.9424;1;0.288888888888889;0.8
418;0.7266;0;0.288888888888889;0.8
419;0.8129;1;0.288888888888889;0.8
420;0.6812;1;0.288888888888889;0.6
421;0.8043;1;0.288888888888889;0.6
422;0.9928;1;0.288888888888889;0.4
423;0.8417;1;0.283333333333333;1
424;1,00;0.5;0.283333333333333;1
425;0.7338;1;0.283333333333333;0.8
426;0.6906;1;0.283333333333333;0.8
427;0.8;1;0.283333333333333;0.8
428;0.8986;1;0.283333333333333;0.8
429;0.7482;1;0.283333333333333;0.6
430;0.4388;0.5;0.283333333333333;0.6
431;0.9783;1;0.283333333333333;0.6
432;0.413;0;0.283333333333333;0.6
433;0.9348;1;0.283333333333333;0.6
434;1,00;1;0.283333333333333;0.6
435;0.6835;1;0.283333333333333;0.4
436;1,00;1;0.283333333333333;0.4
437;0.9855;1;0.283333333333333;0.2
438;0.8913;0;0.283333333333333;0.2
439;0.9924;1;0.266666666666667;1
440;1,00;1;0.266666666666667;1
441;0.9784;1;0.266666666666667;1
442;1,00;1;0.266666666666667;1
443;0.6835;1;0.266666666666667;1
444;0.8417;1;0.266666666666667;1
445;0.5971;1;0.266666666666667;1
446;0.554;0;0.266666666666667;1
447;0.8913;0;0.266666666666667;1
448;0.9928;1;0.266666666666667;1
449;0.9348;0;0.266666666666667;1
450;0.4493;0;0.266666666666667;1
451;0.9783;0.5;0.266666666666667;1
452;1,00;1;0.266666666666667;1
453;0.9852;1;0.266666666666667;1
454;0.9852;1;0.266666666666667;1
455;0.9852;1;0.266666666666667;1
456;1,00;1;0.266666666666667;1
457;0.9259;1;0.266666666666667;1
458;0.9559;1;0.266666666666667;1
459;0.9118;0.5;0.266666666666667;1
460;0.9632;1;0.266666666666667;1
461;1,00;1;0.266666666666667;0.8
462;0.9773;1;0.266666666666667;0.8
463;0.9856;1;0.266666666666667;0.8
464;0.9928;1;0.266666666666667;0.8
465;0.7842;1;0.266666666666667;0.8
466;0.8921;0;0.266666666666667;0.8
467;0.8345;1;0.266666666666667;0.8
468;0.5827;1;0.266666666666667;0.8
469;0.482;1;0.266666666666667;0.8
470;0.2662;1;0.266666666666667;0.8
471;0.6619;1;0.266666666666667;0.8
472;0.2174;0;0.266666666666667;0.8
473;0.5362;1;0.266666666666667;0.8
474;1,00;1;0.266666666666667;0.6
475;0.5036;1;0.266666666666667;0.6
476;0.7338;1;0.266666666666667;0.6
477;0.942;0;0.266666666666667;0.6
478;0.2681;0;0.266666666666667;0.6
479;0.6;1;0.266666666666667;0.6
480;0.9779;1;0.266666666666667;0.6
481;0.9783;1;0.266666666666667;0.6
482;0.1739;1;0.266666666666667;0.6
483;0.2803;0;0.266666666666667;0.4
484;0.7698;1;0.266666666666667;0.4
485;0.5362;1;0.266666666666667;0.4
486;0.6232;1;0.266666666666667;0.4
487;0.442;1;0.266666666666667;0.4
488;0.1789;0;0.266666666666667;0.2
489;1,00;1;0.266666666666667;0.2
490;0.4348;0;0.266666666666667;0.2
491;1,00;1;0.266666666666667;0.2
492;0.1159;0;0.25;0.4
493;0.2878;0.5;0.25;0.2
494;0.9424;1;0.233333333333333;1
495;0.8116;1;0.233333333333333;1
496;0.9926;1;0.233333333333333;1
497;0.6594;1;0.216666666666667;0.8
498;0.9784;0;0.216666666666667;0.4
499;0.9928;0;0.2;1
500;0.518;0.5;0.2;1
501;1,00;1;0.2;1
502;0.7391;1;0.2;1
503;1,00;1;0.2;0.8
504;0.8788;1;0.2;0.8
505;0.9913;1;0.2;0.8
506;0.8129;0.5;0.2;0.8
507;0.5827;0.5;0.2;0.8
508;0.9928;1;0.2;0.8
509;0.6547;1;0.2;0.8
510;0.3381;0;0.2;0.8
511;0.3333;0;0.2;0.8
512;0.8551;0;0.2;0.8
513;0.7174;1;0.2;0.8
514;0.8;1;0.2;0.8
